date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:21	487781/487781	---MCZ	200	added ('OK')	text/html	etag:cacheable:9f2d6c8ee03181fc4e1fe9ab9f50a1ec	https://beistravel.com/collections/luggage	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/luggage.html	(from https://beistravel.com/)
11:02:22	789324/789324	---MCZ	200	added ('OK')	text/html	etag:cacheable:3f1fce1eb7e2a5c16d812db623b0bbf7	https://beistravel.com/collections/accessories	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/accessories.html	(from https://beistravel.com/)
11:02:22	271863/271863	---MCZ	200	added ('OK')	text/html	etag:cacheable:1dfe155f0a72bd0d35215faa37b017af	https://beistravel.com/collections/sale	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/sale.html	(from https://beistravel.com/)
11:02:22	167131/167131	---MCZ	200	added ('OK')	text/html	etag:cacheable:c0cf7a1508401e7ce6d397bf8fa0e211	https://beistravel.com/pages/rewards	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/pages/rewards.html	(from https://beistravel.com/)
11:02:22	124/124	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Jun%202021%2011:02:22%20GMT	https://beistravel.com/account	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/account	(from https://beistravel.com/)
11:02:22	157528/157528	---MCZ	200	added ('OK')	text/html	etag:cacheable:3e19070d7638705bea0cca543748040f	https://beistravel.com/account/login?return_url=%2Faccount	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/account/login4236.html	(from https://beistravel.com/)
11:02:23	155726/155726	---MCZ	200	added ('OK')	text/html	etag:cacheable:34c9854090c72b95d4f01b421ae88597	https://beistravel.com/search	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/search.html	(from https://beistravel.com/)
11:02:23	1107741/1107741	---MCZ	200	added ('OK')	text/html	etag:cacheable:35e838a59494a1b0244e03b982b2bb41	https://beistravel.com/collections/best-sellers	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/best-sellers.html	(from https://beistravel.com/)
11:02:23	328067/328067	---MCZ	200	added ('OK')	text/html	etag:cacheable:61dc2f48c74002172c5c6d01d8d21c04	https://beistravel.com/collections/the-beis-moves-collection	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/the-beis-moves-collection.html	(from https://beistravel.com/)
11:02:24	225049/225049	---MCZ	200	added ('OK')	text/html	etag:cacheable:b0c1bb55a868f40e2f704afa80950909	https://beistravel.com/pages/baby-collection	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/pages/baby-collection.html	(from https://beistravel.com/)
